ZIP,Population_Total,Population_65Plus,ACS_Year
00601,16669,3827,2024-5yr
00602,37233,8659,2024-5yr
00603,48448,12187,2024-5yr
00606,5163,1346,2024-5yr
00610,25357,5840,2024-5yr
00611,1383,469,2024-5yr
00612,62908,15133,2024-5yr
00616,9717,2767,2024-5yr
00617,22584,4829,2024-5yr
00622,7664,2269,2024-5yr
00623,39212,9379,2024-5yr
00624,21148,4213,2024-5yr
00627,32734,7521,2024-5yr
00631,1321,382,2024-5yr
00636,968,155,2024-5yr
00637,22909,5937,2024-5yr
00638,17319,4295,2024-5yr
00641,23831,6026,2024-5yr
00646,35998,6979,2024-5yr
00647,4369,1306,2024-5yr
00650,13200,2871,2024-5yr
00652,4504,722,2024-5yr
00653,8495,2143,2024-5yr
00656,17398,4222,2024-5yr
00659,37327,8625,2024-5yr
00660,15405,4632,2024-5yr
00662,41090,9201,2024-5yr
00664,14807,3035,2024-5yr
00667,22792,6185,2024-5yr
00669,27417,6395,2024-5yr
00670,8512,2043,2024-5yr
00674,39093,9890,2024-5yr
00676,36972,7841,2024-5yr
00677,15483,4297,2024-5yr
00678,24595,5859,2024-5yr
00680,42689,12322,2024-5yr
00682,28977,6731,2024-5yr
00683,29490,8406,2024-5yr
00685,39988,10198,2024-5yr
00687,28397,5502,2024-5yr
00688,10028,2417,2024-5yr
00690,5870,1130,2024-5yr
00692,32802,6632,2024-5yr
00693,55387,12798,2024-5yr
00694,125,96,2024-5yr
00698,32535,8275,2024-5yr
00703,24263,5582,2024-5yr
00704,6256,1157,2024-5yr
00705,24471,6100,2024-5yr
00707,10319,2667,2024-5yr
00714,15341,3451,2024-5yr
00715,2082,605,2024-5yr
00716,27945,7387,2024-5yr
00717,14577,4098,2024-5yr
00718,23026,4631,2024-5yr
00719,29932,6925,2024-5yr
00720,21037,4217,2024-5yr
00723,15643,4221,2024-5yr
00725,73462,17350,2024-5yr
00727,55191,11959,2024-5yr
00728,36532,7703,2024-5yr
00729,47067,9412,2024-5yr
00730,31081,9016,2024-5yr
00731,9724,2475,2024-5yr
00735,10949,2902,2024-5yr
00736,45306,10888,2024-5yr
00738,29980,7126,2024-5yr
00739,34578,6989,2024-5yr
00740,1583,372,2024-5yr
00741,3716,1030,2024-5yr
00745,46739,10548,2024-5yr
00751,19343,4727,2024-5yr
00754,36728,7970,2024-5yr
00757,19853,3563,2024-5yr
00765,8078,2028,2024-5yr
00766,21572,4709,2024-5yr
00767,29962,7494,2024-5yr
00769,33602,7208,2024-5yr
00771,35094,7466,2024-5yr
00772,16829,3812,2024-5yr
00773,17532,4310,2024-5yr
00775,1387,318,2024-5yr
00777,37446,6860,2024-5yr
00778,40203,7152,2024-5yr
00780,13446,2599,2024-5yr
00782,18128,3819,2024-5yr
