zcta,race_total,race_white,race_black,race_aian,race_asian,race_nhpi,race_other,race_multi,pct_white,pct_black,pct_asian,pct_nhpi,hispanic_total,hispanic_count,pct_hispanic,non_hisp_white,median_hh_income,disability_pop_total,disability_count,pct_disability,acs_year
00601,16669,13303,241,0,18,0,1394,1713,79.8,1.4,0.1,0.0,16669,16554,99.3,65,19454,0,0,,2024-5yr
00602,37233,10136,671,27,44,0,1699,24656,27.2,1.8,0.1,0.0,37233,36205,97.2,576,21420,32424,10178,22246.0,2024-5yr
00603,48448,35311,1612,40,9,0,5896,5580,72.9,3.3,0.0,0.0,48448,47689,98.4,530,20933,41158,11553,29605.0,2024-5yr
00606,5163,3438,7,0,12,0,1307,399,66.6,0.1,0.2,0.0,5163,5146,99.7,5,20992,0,0,,2024-5yr
00610,25357,4746,480,2,0,0,2359,17770,18.7,1.9,0.0,0.0,25357,24455,96.4,391,24496,0,0,,2024-5yr
00611,1383,847,35,0,0,0,467,34,61.2,2.5,0.0,0.0,1383,1347,97.4,36,20360,0,0,,2024-5yr
00612,62908,8341,949,129,387,0,15580,37522,13.3,1.5,0.6,0.0,62908,62640,99.6,173,24488,53128,12530,40598.0,2024-5yr
00616,9717,1114,297,0,110,0,2120,6076,11.5,3.1,1.1,0.0,9717,9673,99.5,0,21846,0,0,,2024-5yr
00617,22584,1853,620,77,292,0,5046,14696,8.2,2.7,1.3,0.0,22584,22390,99.1,108,25013,0,0,,2024-5yr
00622,7664,4391,366,56,20,0,1651,1180,57.3,4.8,0.3,0.0,7664,7542,98.4,98,26585,0,0,,2024-5yr
00623,39212,22604,2256,188,148,0,7518,6498,57.6,5.8,0.4,0.0,39212,38926,99.3,125,26388,34281,8259,26022.0,2024-5yr
00624,21148,16064,602,0,58,0,2540,1884,76.0,2.8,0.3,0.0,21148,21046,99.5,29,22979,0,0,,2024-5yr
00627,32734,22755,623,105,0,0,5509,3742,69.5,1.9,0.0,0.0,32734,32559,99.5,93,27411,28333,10181,18152.0,2024-5yr
00631,1321,1234,8,0,0,0,64,15,93.4,0.6,0.0,0.0,1321,1321,100.0,0,19278,0,0,,2024-5yr
00636,968,615,0,0,0,0,281,72,63.5,0.0,0.0,0.0,968,968,100.0,0,,0,0,,2024-5yr
00637,22909,13286,278,17,9,0,6576,2743,58.0,1.2,0.0,0.0,22909,22788,99.5,87,21987,0,0,,2024-5yr
00638,17319,3283,953,152,116,0,1639,11176,19.0,5.5,0.7,0.0,17319,17297,99.9,22,22610,0,0,,2024-5yr
00641,23831,13084,392,19,61,0,8160,2115,54.9,1.6,0.3,0.0,23831,23499,98.6,272,21102,0,0,,2024-5yr
00646,35998,6108,1605,34,64,0,7811,20376,17.0,4.5,0.2,0.0,35998,34823,96.7,919,36265,0,0,,2024-5yr
00647,4369,2472,51,0,4,0,1567,275,56.6,1.2,0.1,0.0,4369,4299,98.4,24,20023,0,0,,2024-5yr
00650,13200,2222,167,0,126,0,2819,7866,16.8,1.3,1.0,0.0,13200,13140,99.5,18,21447,0,0,,2024-5yr
00652,4504,376,14,38,46,0,624,3406,8.3,0.3,1.0,0.0,4504,4448,98.8,56,35383,0,0,,2024-5yr
00653,8495,5307,229,0,0,0,2155,804,62.5,2.7,0.0,0.0,8495,8446,99.4,9,16736,0,0,,2024-5yr
00656,17398,13004,436,34,0,0,2498,1426,74.7,2.5,0.0,0.0,17398,17369,99.8,29,24065,0,0,,2024-5yr
00659,37327,20313,1320,143,0,0,5779,9772,54.4,3.5,0.0,0.0,37327,37227,99.7,99,27513,32414,9638,22776.0,2024-5yr
00660,15405,5760,660,0,0,0,7739,1246,37.4,4.3,0.0,0.0,15405,15089,97.9,202,26851,0,0,,2024-5yr
00662,41090,18970,2379,36,36,29,11769,7871,46.2,5.8,0.1,0.1,41090,40427,98.4,322,23299,35841,8992,26849.0,2024-5yr
00664,14807,8151,252,0,31,0,4840,1533,55.0,1.7,0.2,0.0,14807,14580,98.5,227,21767,0,0,,2024-5yr
00667,22792,12937,687,20,0,0,6274,2874,56.8,3.0,0.0,0.0,22792,22479,98.6,274,19534,0,0,,2024-5yr
00669,27417,18597,618,14,16,0,3203,4969,67.8,2.3,0.1,0.0,27417,27278,99.5,90,18778,0,0,,2024-5yr
00670,8512,5571,250,0,0,0,2116,575,65.4,2.9,0.0,0.0,8512,8467,99.5,3,16367,0,0,,2024-5yr
00674,39093,4110,818,0,9,0,6787,27369,10.5,2.1,0.0,0.0,39093,38401,98.2,258,22537,33304,7512,25792.0,2024-5yr
00676,36972,28217,1185,116,0,0,3876,3578,76.3,3.2,0.0,0.0,36972,36726,99.3,170,23272,31349,7937,23412.0,2024-5yr
00677,15483,3010,377,21,0,0,1057,11018,19.4,2.4,0.0,0.0,15483,14770,95.4,592,24266,0,0,,2024-5yr
00678,24595,13194,770,121,0,0,6737,3773,53.6,3.1,0.0,0.0,24595,24379,99.1,179,23874,21052,7314,13738.0,2024-5yr
00680,42689,6164,974,28,86,0,30957,4480,14.4,2.3,0.2,0.0,42689,42414,99.4,117,17896,36093,10320,25773.0,2024-5yr
00682,28977,3630,710,52,85,0,20651,3849,12.5,2.5,0.3,0.0,28977,28536,98.5,295,18793,0,0,,2024-5yr
00683,29490,18943,608,0,45,0,6747,3147,64.2,2.1,0.2,0.0,29490,29191,99.0,232,18543,0,0,,2024-5yr
00685,39988,26371,703,55,0,0,8087,4772,65.9,1.8,0.0,0.0,39988,39487,98.7,398,20310,33955,11031,22924.0,2024-5yr
00687,28397,5326,1269,14,0,0,4668,17120,18.8,4.5,0.0,0.0,28397,28397,100.0,0,25003,0,0,,2024-5yr
00688,10028,1106,133,0,25,0,4900,3864,11.0,1.3,0.2,0.0,10028,9966,99.4,41,18023,0,0,,2024-5yr
00690,5870,4036,250,0,0,0,523,1061,68.8,4.3,0.0,0.0,5870,5853,99.7,17,25755,0,0,,2024-5yr
00692,32802,3125,901,81,0,0,9768,18927,9.5,2.7,0.0,0.0,32802,32667,99.6,111,25568,0,0,,2024-5yr
00693,55387,7387,2859,259,0,0,12620,32262,13.3,5.2,0.0,0.0,55387,54976,99.3,258,24596,47414,11688,35726.0,2024-5yr
00694,125,0,0,0,0,0,57,68,0.0,0.0,0.0,0.0,125,125,100.0,0,16094,0,0,,2024-5yr
00698,32535,23667,519,20,22,0,4483,3824,72.7,1.6,0.1,0.0,32535,32350,99.4,88,24310,27901,8469,19432.0,2024-5yr
00703,24263,7526,1883,349,0,0,8446,6059,31.0,7.8,0.0,0.0,24263,24168,99.6,14,23292,0,0,,2024-5yr
00704,6256,245,180,0,0,0,321,5510,3.9,2.9,0.0,0.0,6256,6167,98.6,23,20899,0,0,,2024-5yr
00705,24471,1711,272,115,0,0,1203,21170,7.0,1.1,0.0,0.0,24471,24393,99.7,66,21712,21319,8481,12838.0,2024-5yr
00707,10319,760,379,0,0,0,8064,1116,7.4,3.7,0.0,0.0,10319,10286,99.7,33,17750,0,0,,2024-5yr
00714,15341,5691,2515,0,0,0,2812,4323,37.1,16.4,0.0,0.0,15341,15262,99.5,28,21186,0,0,,2024-5yr
00715,2082,337,130,0,0,0,247,1368,16.2,6.2,0.0,0.0,2082,2082,100.0,0,22670,0,0,,2024-5yr
00716,27945,8582,1206,39,17,0,3503,14598,30.7,4.3,0.1,0.0,27945,27564,98.6,134,20652,0,0,,2024-5yr
00717,14577,4131,602,21,12,0,1905,7906,28.3,4.1,0.1,0.0,14577,14463,99.2,83,13602,0,0,,2024-5yr
00718,23026,1001,207,0,0,0,20036,1782,4.3,0.9,0.0,0.0,23026,22845,99.2,80,23487,0,0,,2024-5yr
00719,29932,6188,2190,0,30,0,2699,18825,20.7,7.3,0.1,0.0,29932,29863,99.8,40,22129,0,0,,2024-5yr
00720,21037,4317,1390,0,0,0,3801,11529,20.5,6.6,0.0,0.0,21037,20892,99.3,115,20151,0,0,,2024-5yr
00723,15643,879,604,0,0,0,12667,1493,5.6,3.9,0.0,0.0,15643,15621,99.9,22,24574,0,0,,2024-5yr
00725,73462,25181,5709,238,190,27,19094,23023,34.3,7.8,0.3,0.0,73462,72173,98.2,915,29575,63406,18190,45216.0,2024-5yr
00727,55191,19281,4795,157,182,0,15127,15649,34.9,8.7,0.3,0.0,55191,54212,98.2,659,34094,47297,11393,35904.0,2024-5yr
00728,36532,12980,2106,35,91,0,6130,15190,35.5,5.8,0.2,0.0,36532,36350,99.5,66,23031,28452,7447,21005.0,2024-5yr
00729,47067,6183,6652,53,277,0,19256,14646,13.1,14.1,0.6,0.0,47067,46989,99.8,23,31239,40003,8755,31248.0,2024-5yr
00730,31081,4948,1299,8,0,0,2017,22809,15.9,4.2,0.0,0.0,31081,30938,99.5,67,18089,26391,8943,17448.0,2024-5yr
00731,9724,2323,230,0,0,0,561,6610,23.9,2.4,0.0,0.0,9724,9724,100.0,0,18736,0,0,,2024-5yr
00735,10949,1100,491,0,55,0,7797,1506,10.0,4.5,0.5,0.0,10949,10774,98.4,106,25243,0,0,,2024-5yr
00736,45306,14430,4205,470,0,0,15588,10613,31.9,9.3,0.0,0.0,45306,45255,99.9,19,29971,39467,14301,25166.0,2024-5yr
00738,29980,3176,1442,0,181,0,10711,14470,10.6,4.8,0.6,0.0,29980,29707,99.1,203,25531,0,0,,2024-5yr
