ccn,provider_name,state,total_events,fine_count,fine_total_dollars,payment_denial_count,most_recent_penalty
015019,MERRY WOOD LODGE,AL,2,1,182968.0,1,2024-09-01
015032,DIVERSICARE OF FOLEY,AL,1,1,10065.0,0,2023-06-19
015048,CULLMAN HEALTH CARE CENTER,AL,1,1,26982.0,0,2023-10-19
015060,NORTHGATE HEALTH AND REHABILITATION CENTER,AL,4,3,17346.0,1,2025-05-09
015075,"SUMMERFORD HEALTH AND REHAB, LLC",AL,3,3,25568.0,0,2024-04-24
015076,FAIR HAVEN,AL,10,10,31615.0,0,2023-10-30
015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,3,2,8569.0,1,2023-08-24
015104,SOUTHLAND NURSING HOME,AL,1,1,5244.0,0,2023-12-18
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",AL,2,1,76242.0,1,2024-11-20
015119,BELLWAY HEALTH AND REHABILITATION CENTER,AL,1,1,203450.0,0,2024-07-15
015120,"NHC HEALTHCARE, ANNISTON",AL,1,1,11057.0,0,2024-10-26
015132,DIVERSICARE OF OXFORD,AL,1,1,111900.0,0,2026-04-09
015133,MAGNOLIA RIDGE,AL,1,1,392125.0,0,2025-03-19
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,6,5,24834.0,1,2024-05-13
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,3,2,146615.0,1,2025-09-02
015144,THE HEALTHCARE CENTER AT BUCK CREEK,AL,3,2,16801.0,1,2024-05-03
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,1,1,8788.0,0,2025-08-08
015159,DIVERSICARE OF ONEONTA,AL,2,1,9318.0,1,2023-07-23
015175,WESLEY PLACE ON HONEYSUCKLE,AL,12,12,48689.0,0,2024-03-23
015178,GREENE COUNTY NURSING HOME,AL,1,1,13635.0,0,2023-10-10
015186,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,1,1,81335.0,0,2023-07-26
015197,LAFAYETTE EXTENDED CARE,AL,1,1,4558.0,0,2024-01-30
015199,CROWNE HEALTH CARE OF EUFAULA,AL,2,1,42884.0,1,2024-09-20
015206,DECATUR HEALTH & REHAB CENTER,AL,4,4,25367.0,0,2025-02-03
015217,BIRMINGHAM NURSING AND REHABILITATION CTR LLC,AL,3,2,74848.0,1,2025-10-29
015223,NORTHSIDE HEALTH CARE,AL,1,1,221520.0,0,2025-07-26
015320,ENTERPRISE HEALTH & REHABILITATION CENTER,AL,2,1,85230.0,1,2026-01-18
015369,OAKS ON PARKWOOD SKILLED NURSING FACILITY,AL,1,1,17345.0,0,2025-09-28
015372,REGENCY HEALTH CARE AND REHABILITATION CENTER,AL,3,2,16801.0,1,2024-08-21
015379,MOBILE NURSING AND REHABILITATION CENTER,AL,1,1,13520.0,0,2025-06-27
015397,WINDSOR HOUSE,AL,1,1,266231.0,0,2023-08-24
015406,"Greenway Health and Rehabilitation Center, LLC",AL,10,8,78421.0,2,2025-04-15
015408,"WALKER REHABILITATION CENTER, INC",AL,1,1,235127.0,0,2024-11-30
015420,CUMBERLAND HEALTH AND REHAB,AL,1,1,238745.0,0,2024-06-03
015429,KENSINGTON HEALTH AND REHABILITATION,AL,1,1,4558.0,0,2024-02-06
015433,ST MARTIN'S IN THE PINES,AL,1,0,0.0,1,2025-07-18
015453,"COLUMBIANA HEALTH AND REHABILITATION, LLC",AL,1,1,8018.0,0,2024-04-18
015455,ELITE NURSING AND REHABILITATION CARE CENTER,AL,1,1,6682.0,0,2024-08-13
015458,THE HEALTH CENTER AT RESEARCH PARK,AL,2,1,69011.0,1,2024-06-18
015463,KNOLLWOOD HEALTHCARE,AL,5,4,318070.0,1,2025-03-27
015464,"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",AL,1,1,15593.0,0,2023-06-25
015467,CAVALIER HEALTHCARE OF TRUSSVILLE,AL,7,7,42603.0,0,2024-02-20
015468,ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,AL,1,1,16801.0,0,2024-01-12
025018,POLARIS TRANSITIONAL CARE,AK,1,1,109382.0,0,2023-09-01
025020,Denali Center,AK,1,1,15935.0,0,2026-01-20
025025,CENTENNIAL POST ACUTE,AK,4,3,316369.0,1,2025-12-24
025036,Polaris Extended Care,AK,5,4,238053.0,1,2025-11-26
025037,YUKON KUSKOKWIM ELDER'S HOME,AK,1,1,10117.0,0,2025-01-31
025038,MAPLE SPRINGS OF WASILLA,AK,1,0,0.0,1,2024-06-21
025039,MAPLE SPRINGS OF PALMER,AK,3,3,75669.0,0,2025-03-27
035014,Desert Terrace Healthcare Center,AZ,1,1,1300.0,0,2025-11-21
035062,DESERT HAVEN CARE CENTER,AZ,2,2,77018.0,0,2025-12-17
035072,PHOENIX MOUNTAIN POST ACUTE,AZ,1,1,8018.0,0,2024-06-11
035091,HAVEN OF FLAGSTAFF,AZ,1,1,13098.0,0,2025-03-14
035092,Bella Vita Health and Rehabilitation Center,AZ,1,1,8278.0,0,2025-11-06
035099,SANDSTONE OF TUCSON REHAB CENTRE,AZ,2,2,55090.0,0,2026-04-03
035101,CHANDLER POST ACUTE AND REHABILITATION,AZ,1,1,10358.0,0,2025-11-20
035107,HAVEN OF PHOENIX,AZ,1,1,12735.0,0,2025-12-16
035110,Sun West Choice Healthcare & Rehab,AZ,1,1,4838.0,0,2023-08-28
035118,HAVEN OF CAMP VERDE,AZ,1,1,18252.0,0,2026-02-11
035134,RIM COUNTRY HEALTH & RETIREMENT COMMUNITY,AZ,1,1,10358.0,0,2025-02-12
035135,Montecito Post Acute Care and Rehabilitation,AZ,1,1,8278.0,0,2025-05-20
035136,LIFE CARE CENTER OF SIERRA VISTA,AZ,2,2,55881.0,0,2024-10-18
035139,HAVEN OF SHOW LOW,AZ,2,2,46852.0,0,2025-04-16
035143,LIFE CARE CENTER OF SCOTTSDALE,AZ,1,1,6414.0,0,2024-09-12
035146,Life Care Center of Paradise Valley,AZ,1,1,72147.0,0,2023-06-30
035147,VILLA MARIA POST ACUTE AND REHABILITATION,AZ,1,1,8018.0,0,2024-04-12
035158,Prescott Village Nursing & Rehabilitation,AZ,1,1,8278.0,0,2025-03-25
035159,Horizon Post Acute and Rehabilitation Center,AZ,1,1,10985.0,0,2025-10-31
035164,DESERT BLOSSOM HEALTH & REHAB CENTER,AZ,1,1,8278.0,0,2025-06-02
035172,HAVEN OF SAFFORD,AZ,1,1,15210.0,0,2026-02-10
035174,PARK AVENUE HEALTH AND REHABILITATION CENTER,AZ,1,1,25116.0,0,2024-08-01
035175,DESERT PEAK CARE CENTER,AZ,3,2,64873.0,1,2025-01-10
035189,LA CANADA CARE CENTER,AZ,1,1,12735.0,0,2026-01-21
035193,Citrus Heights Respiratory and Rehabilitation,AZ,1,1,5324.0,0,2023-07-03
035197,Haven of Yuma,AZ,1,1,9302.0,0,2023-06-23
035216,CARING HOUSE,AZ,3,2,28695.0,1,2025-09-18
035217,REHAB AT SCOTTSDALE VILLAGE SQUARE,AZ,11,11,199344.0,0,2024-08-21
035234,Arizona State Veteran Home-Phx,AZ,4,3,23296.0,1,2024-12-10
035240,HAVEN OF LAKE HAVASU,AZ,1,1,8018.0,0,2024-10-17
035242,DR GUY GORMAN SR CARE HOME,AZ,4,2,127634.0,2,2025-07-25
