YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,high_therapy_intensity,high_dual_pct
2023,FY,PROVIDER,SNF,020006,Mat-Su Regional Medical Center,Palmer,AK,99645,83,88,1202,9659610,855105,797586,704353,34,*,76,53,47,90,0,*,*,*,0,0,1.89,*,24,35,34,14,30,35,*,*,*,28,36,70,17,16,49,41,46,43,73,84,45,14,*,25,0,*,*,*,*,0,20,*,*,16,*,0,*,28,*,,False
2023,FY,PROVIDER,SNF,020024,Central Peninsula General Hospital,Soldotna,AK,99669,50,54,943,3011338,730990,679680,583669,32,*,78,52,48,90,0,0,0,*,*,0,2.08,0,22,38,36,0,36,36,*,*,*,*,38,60,*,26,38,46,24,50,64,*,32,22,*,42,*,*,*,*,*,0,*,*,*,*,0,0,*,35,*,,False
2023,FY,PROVIDER,SNF,025010,Ketchikan Med Ctr New Horizons Transitional Care,Ketchikan,AK,99901,13,16,365,888857,281810,234729,194076,*,*,79,*,*,*,0,0,0,*,0,0,3.61,0,*,*,*,*,*,*,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,*,0,*,0,*,*,*,0,0,0,0,*,0,,
2023,FY,PROVIDER,SNF,025018,Providence Transitional Care Center,Anchorage,AK,99504,135,157,6181,15722560,4165541,3376259,2984753,44,*,76,46,54,78,*,*,*,*,*,*,2.57,*,26,28,39,18,49,54,*,*,*,24,50,65,16,16,54,31,53,48,76,*,48,37,*,30,*,*,*,0,*,*,20,7,*,15,*,0,0,27,16,,True
2023,FY,PROVIDER,SNF,025020,Denali Center,Fairbanks,AK,99701,70,70,1903,2104052,1174431,1005523,1063800,39,17,74,63,37,83,*,0,*,*,*,0,2.4,0,17,20,34,*,39,44,*,*,*,30,29,51,*,16,34,33,66,33,70,*,36,19,*,31,*,*,*,0,*,0,24,*,*,*,*,0,0,30,*,,True
2023,FY,PROVIDER,SNF,025021,Heritage Place,Soldotna,AK,99669,43,46,1132,1816864,764242,659942,556719,*,*,81,37,63,95,*,0,0,0,*,0,1.79,0,*,35,*,0,35,42,*,0,0,*,37,*,*,26,30,33,42,42,*,*,47,30,*,30,*,0,0,0,*,0,*,0,0,*,0,0,0,48,28,,
2023,FY,PROVIDER,SNF,025025,Prestige Care & Rehab Center Of Anchorage,Anchorage,AK,99504,166,190,5168,4641853,3565483,3080419,2738691,49,8,76,40,60,73,*,*,*,11,*,*,2.35,*,22,37,40,11,48,51,*,*,*,29,43,66,17,19,44,42,51,44,78,92,46,20,7,30,*,*,*,*,*,0,21,7,*,14,*,*,0,27,17,,True
2023,FY,PROVIDER,SNF,025027,Wildflower Court,Juneau,AK,99801,25,31,1130,1069995,755498,611802,506849,44,*,76,56,44,76,0,0,0,*,*,0,1.89,0,*,*,*,0,48,48,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,44,0,*,*,0,*,0,42,*,0,*,*,0,0,*,*,,True
2023,FY,PROVIDER,SNF,025036,Providence Extended Care,Anchorage,AK,99504,12,18,586,938978,430513,347552,302088,100,0,69,*,*,*,0,*,*,*,0,0,3.14,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,100,*,*,*,*,*,*,*,0,*,0,*,0,0,0,*,0,0,*,0,,True
2023,FY,PROVIDER,SNF,025038,Maple Springs Of Wasilla,Wasilla,AK,99654,177,210,7885,7827502,5105431,4098047,3614146,31,*,77,41,59,88,*,*,*,*,*,*,2.33,*,25,36,37,14,41,44,*,*,*,20,49,72,16,15,47,40,49,47,79,93,45,27,8,37,*,*,6,0,5,0,18,*,*,12,*,0,*,30,10,,False
2023,FY,PROVIDER,SNF,025039,Maple Springs Of Palmer,Palmer,AK,99645,32,41,1681,1774916,1109196,847674,742033,59,*,77,41,59,69,*,*,0,*,0,0,2.63,0,*,50,41,*,50,50,0,*,*,*,34,66,*,*,56,34,47,47,*,*,38,38,0,38,*,*,*,0,*,0,*,0,0,*,*,0,*,*,*,,True
2023,FY,PROVIDER,SNF,010007,Mizell Memorial Hospital,Opp,AL,36467,51,61,571,745683,282697,275697,368708,*,*,81,22,78,98,*,0,0,0,*,0,1.82,0,*,39,65,*,59,65,0,0,*,*,51,76,29,*,47,57,45,53,78,*,43,27,*,25,*,*,*,*,0,0,*,*,*,*,*,0,*,*,28,,
2023,FY,PROVIDER,SNF,010034,Community Hospital Inc,Tallassee,AL,36078,21,23,260,318251,122764,120164,157544,*,0,81,*,*,95,*,0,0,0,*,0,1.49,0,*,*,*,0,*,*,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,*,0,*,*,*,0,*,0,0,*,*,,
