HCPCS_Cd,RBCS_Id,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Latest_Assignment,First_RBCS_Release_Year,RBCS_Analysis_Start_Dt,RBCS_Analysis_End_Dt,Alt_Assignment_Method,RBCS_Id_Ever_Reassigned
00100,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
00102,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
A6535,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2025,01/01/2014,12/31/9999,0,0
A6536,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2025,01/01/2014,12/31/9999,0,0
A6537,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2025,01/01/2014,12/31/9999,0,0
A6538,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2025,01/01/2014,12/31/9999,0,0
A6539,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2025,01/01/2014,12/31/9999,0,0
A6540,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2025,01/01/2014,12/31/9999,0,0
A6541,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2025,01/01/2014,12/31/9999,0,0
A6545,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2009,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
A6549,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2006,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
A6550,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2004,12/31/9999,1,2024,01/01/2014,12/31/9999,0,1
A6552,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6553,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6554,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6555,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6556,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6557,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6558,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6559,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,1,0
A6560,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,1,0
A6561,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,1,0
A6562,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6563,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
A6564,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2024,12/31/9999,1,2025,01/01/2024,12/31/9999,0,0
