ccn,facility_name,state,type_of_control,fy_begin,fy_end,beds,days_medicare,days_medicaid,days_total,bed_days_available,medicare_days_pct,medicaid_days_pct,private_other_pct,net_patient_revenue,net_income,total_costs,total_salaries,contract_labor,operating_margin_pct,occupancy_pct,contract_labor_pct,medicaid_heavy,financially_stressed
265369,CRYSTAL OAKS NURSING & REHAB LLC,MO,2,2022-10-01,2022-11-30,131.0,586.0,1969.0,5004.0,7991.0,11.7,39.3,48.9,1651985.0,-85832.0,209804.0,770787.0,43894.0,-5.2,62.6,5.7,False,True
495432,VIERRA FALLS CHURCH,VA,3,,,,,,,,,,,,,,,,,,,False,False
245623,INTERLUDE RESTORATIVE SUITES,MN,3,,,,,,,,,,,,,,,,,,,False,False
075279,KIMBERLY HALL NORTH,CT,4,2022-10-01,2022-11-14,150.0,168.0,5355.0,6072.0,6750.0,2.8,88.2,9.0,1770507.0,-1306020.0,133258.0,793421.0,459084.0,-73.77,90.0,57.9,True,True
455714,OAKBEND DBA NORTHWEST,TX,11,2022-10-01,2022-12-31,148.0,159.0,7907.0,8688.0,13616.0,1.8,91.0,7.2,1718117.0,-146232.0,204686.0,1016699.0,14903.0,-8.51,63.8,1.5,True,True
675344,OAKBEND DBA SWEENY,TX,11,2022-10-01,2022-12-31,94.0,163.0,5061.0,5676.0,8648.0,2.9,89.2,8.0,1121671.0,-245725.0,208783.0,716985.0,245.0,-21.91,65.6,0.0,True,True
366495,AVENUE AT BROOKLYN,OH,3,,,,,,,,,,,,,,,,,,,False,False
675748,HERITAGE TRAILS NURSING & REHAB CTR,TX,11,2022-10-01,2022-12-31,122.0,721.0,6298.0,8704.0,11224.0,8.3,72.4,19.4,2126830.0,-319475.0,620422.0,1092425.0,148238.0,-15.02,77.5,13.6,True,True
675556,CYPRESS WOODS CARE CENTER,TX,11,2022-10-01,2022-12-31,105.0,443.0,4259.0,5559.0,9660.0,8.0,76.6,15.4,1616285.0,-361054.0,504511.0,616387.0,176684.0,-22.34,57.5,28.7,True,True
745007,VERNON REHABILITATION AND NURSING CE,TX,4,,,,,,,,,,,,,,,,,,,False,False
455850,HURST PLAZA NURSING & REHAB,TX,11,2022-10-01,2022-12-31,106.0,634.0,4349.0,5907.0,9752.0,10.7,73.6,15.6,1762872.0,-397508.0,485723.0,690223.0,120309.0,-22.55,60.6,17.4,True,True
425121,BLUEBIRD HEALTHCARE  INC.,SC,4,2022-10-01,2022-12-31,190.0,1343.0,7398.0,10656.0,17480.0,12.6,69.4,18.0,3582088.0,410951.0,352724.0,1240987.0,626789.0,11.47,61.0,50.5,True,False
455608,HACIENDA OAKS AT BEEVILLE,TX,11,2022-10-01,2022-12-31,101.0,546.0,4631.0,5753.0,9292.0,9.5,80.5,10.0,1423821.0,-209471.0,473240.0,712869.0,14826.0,-14.71,61.9,2.1,True,True
015071,ARABELLA HEALTH & WELLNESS OF RUSSEL,AL,6,2022-10-01,2022-12-31,50.0,273.0,2111.0,3252.0,4600.0,8.4,64.9,26.7,934648.0,-250243.0,80140.0,666099.0,,-26.77,70.7,,True,True
