enrollment_id,organization_name,owner_count,individual_owner_count,private_equity_company_owner,reit_owner,holding_company_owner,investment_firm_owner,medical_staffing_company_owner,chain_home_office_owner,corporation_owner,llc_owner,non_profit_owner,for_profit_owner,trust_or_trustee_owner
O20020801000000,WINDSOR POINT INC.,66,56,False,False,False,False,False,False,True,True,False,False,False
O20020805000004,N&R OF WESTHAVEN L L C,7,6,False,False,False,False,False,False,False,True,False,False,False
O20020814000007,"HILLCREST HEALTHCARE, LLC",8,7,False,False,False,False,False,False,True,False,False,False,False
O20020814000013,BELLS NURSING HOME INC,15,11,False,False,True,False,False,False,False,False,False,False,False
O20020816000002,BEAUMONT WHITNEY PLACE NORTHBOROUGH,13,12,False,False,False,False,False,False,False,True,False,False,False
O20020819000013,MORRIS HEALTH SERVICES,28,27,False,False,False,False,False,False,False,False,False,False,False
O20020819000014,"NEW HARMONY CARE CENTER, INC.",34,30,False,False,False,False,False,True,True,False,True,False,False
O20020820000006,ICC CONVALESCENT LLC,19,9,False,False,False,False,False,False,False,True,False,True,False
O20020822000008,IVY HALL INC,11,10,False,False,False,False,False,False,True,False,False,True,False
O20020824000000,HILLCREST HEALTHCARE COMMUNITIES INC,5,4,False,False,False,False,False,False,False,False,False,False,False
O20020824000002,"DYER NURSING HOME, INC.",11,10,False,False,False,False,False,False,False,False,False,True,False
O20020824000003,"CROCKETT COUNTY NURSING HOME, INC.",7,7,False,False,False,False,False,False,False,False,False,False,False
O20020828000001,"LORIEN HARFORD, INC",19,19,False,False,False,False,False,False,False,False,False,False,False
O20020829000002,SUN CITY CENTER ASSOCIATES LTD LP,14,10,False,False,False,False,False,False,False,True,False,True,False
O20020829000012,"CARE TWO, LLC",9,3,False,False,True,False,False,False,False,False,False,True,False
O20020903000000,IROQUOIS MEMORIAL HOSPITAL AND RESIDENT HOME,13,13,False,False,False,False,False,False,False,False,False,False,False
O20020904000008,MANOR PARK HEALTHCARE LLC,18,9,False,False,True,False,False,False,True,True,False,True,False
O20020904000020,SOUTHLAND MANAGMENT LLC,19,10,False,False,False,False,False,False,True,True,False,False,False
O20020909000010,PECONIC LANDING AT SOUTHOLD INC,6,6,False,False,False,False,False,False,False,False,False,False,False
O20020910000037,TOOMBS NURSING HOME LLC,27,18,False,False,True,False,False,True,True,True,True,False,False
O20020911000000,"HILLCREST NURSING HOME OF CORBIN, INC.",15,13,False,False,False,False,False,False,True,False,False,True,False
O20020911000014,"SOUTH BROADWAY HEALTHCARE GROUP, INC",22,12,False,False,True,False,False,False,False,True,False,True,False
O20020912000012,TAYLOR COUNTY HEALTH CARE LLC,21,14,False,False,True,False,False,True,True,True,True,True,False
O20020913000002,"LAKE PRINCE CENTER, INC.",52,48,False,False,False,False,False,True,False,False,True,False,False
O20020913000007,"KNOTT COUNTY NURSING HOME, INC.",13,12,False,False,False,False,False,False,True,False,False,True,False
O20020913000015,"C & G HEALTHCARE SERVICES, INC.",4,4,False,False,False,False,False,False,False,False,False,False,False
O20020913000016,"WILLIAMSBURG NURSING HOME, INC.",14,12,False,False,False,False,False,False,True,False,False,True,False
O20020916000006,"CORBIN NURSING HOME, INC.",14,12,False,False,False,False,False,False,True,False,False,True,False
O20020916000008,"HARLAN NURSING HOME, INC.",15,13,False,False,False,False,False,False,True,False,False,True,False
O20020916000010,DEWITT REHABILITATION AND NURSING CENTER INC,9,9,False,False,False,False,False,False,False,False,False,False,False
O20020916000014,GORDON LANE HEALTHCARE LLC,25,19,False,True,False,False,False,False,True,True,False,False,False
O20020916000017,"WOLFE COUNTY HEALTH CARE CENTER, INC.",15,13,False,False,False,False,False,False,True,False,False,True,False
O20020916000021,COUNTY OF CHESHIRE,7,6,False,False,False,False,False,False,False,False,False,False,False
O20020916000022,SPARTA HEALTH CARE LLC,26,17,False,False,True,False,False,True,True,True,True,False,False
O20020918000006,"WESLEY WOODS CENTER OF EMORY UNIVERSITY, INC",2,2,False,False,False,False,False,False,False,False,False,False,False
O20020927000017,VIA CHRISTI VILLAGE MANHATTAN INC,16,10,False,False,False,False,True,True,True,True,False,False,False
