ccn,provider_name,state,city,zip,snfrm_achievement,snfrm_improvement,snfrm_measure_score,hai_achievement,hai_improvement,hai_measure_score,turnover_score,staffing_score,performance_score,incentive_payment_multiplier,vbp_penalty,vbp_bonus
010044,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,AL,HAMILTON,35570,9.17634,0.00000,9.17634,8.82391,0.00000,8.82391,---,---,90.00124,1.0272499277,False,True
056114,"EAST TERRACE REHABILITATION & WELLNESS CENTRE, LP",CA,LOS ANGELES,90018,0.00000,0.00000,0.00000,6.72871,0.39109,6.72871,8.93163,2.09411,44.38611,0.9974767139,True,False
056115,IMPERIAL HEALTHCARE CENTER,CA,LA MIRADA,90638,0.00000,0.00000,0.00000,0.00000,1.79686,1.79686,5.84338,2.74450,25.96186,0.9839879032,True,False
056116,LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER,CA,LOS ALTOS,94024,5.24275,5.80732,5.80732,0.00000,0.00000,0.00000,3.34675,5.01817,35.4306,0.9890906895,True,False
056117,THE ROWLAND,CA,COVINA,91723,0.00000,---,0.00000,0.00000,0.00000,0.00000,8.38405,5.22452,34.02142,0.988096892,True,False
056118,GLADSTONE SUB-ACUTE AND REHAB CENTER,CA,GLENDORA,91740,0.00000,4.24362,4.24362,1.50409,5.61039,5.61039,3.26357,1.70162,37.04798,0.9903435022,True,False
056120,NORTH BAY POST ACUTE,CA,PETALUMA,94952,7.66591,0.00000,7.66591,3.78003,0.00000,3.78003,5.86051,4.19499,53.75358,1.0085204546,False,True
056121,WASHINGTON CENTER,CA,SAN LEANDRO,94578,6.32594,3.89832,6.32594,4.17497,2.77841,4.17497,9.03684,2.24655,54.46075,1.0093361283,False,True
056122,MILLBRAE CARE CENTER,CA,MILLBRAE,94030,1.10417,0.00000,1.10417,0.00000,0.00000,0.00000,1.30791,0.92493,8.34251,0.9807352468,True,False
056124,TARZANA HEALTH AND REHABILITATION CENTER,CA,TARZANA,91356,0.00000,4.64986,4.64986,0.00000,0.00000,0.00000,8.48633,2.79964,39.83956,0.9927889639,True,False
056125,ALAMITOS BELMONT HEALTH AND REHABILITATION,CA,LONG BEACH,90814,0.00000,0.00000,0.00000,0.50000,0.00000,0.50000,8.24019,2.98170,29.30472,0.9853934306,True,False
056127,LIVE OAK REHAB CENTER,CA,SAN GABRIEL,91776,6.94306,5.99097,6.94306,3.86705,4.12128,4.12128,1.62794,2.64154,38.33454,0.9914264015,True,False
056129,BURBANK HEALTHCARE & REHAB,CA,BURBANK,91506,3.65464,5.66994,5.66994,0.00000,0.00000,0.00000,6.00120,3.52629,37.99356,0.9911319721,True,False
056132,GOLDEN SAN ANDREAS CARE CENTER,CA,SAN ANDREAS,95249,1.87449,0.00000,1.87449,4.18836,6.12412,6.12412,0.90004,6.24853,37.86795,0.9910248598,True,False
056133,WEST HILLS HEALTH AND REHABILITATION CENTER,CA,CANOGA PARK,91304,0.60357,2.31457,2.31457,5.04853,3.27049,5.04853,10.00000,3.18088,51.35996,1.0056909689,False,True
056136,VILLA MESA CARE CENTER,CA,UPLAND,91786,0.00000,1.28960,1.28960,1.12923,0.00000,1.12923,2.47303,2.39991,18.22943,0.9819264515,True,False
056137,THE MEADOWS POST ACUTE,CA,PANORAMA CITY,91402,10.00000,9.00000,10.00000,5.26274,6.85146,6.85146,7.74130,3.04591,69.09668,1.0219074928,False,True
056139,ROSEVILLE POINT HEALTH & WELLNESS CENTER,CA,ROSEVILLE,95661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.63193,4.07983,0.9804826325,True,False
056143,OSAGE HEALTHCARE & WELLNESS CENTRE,CA,INGLEWOOD,90301,3.04184,1.01884,3.04184,0.00000,2.25618,2.25618,9.46354,1.04075,39.50577,0.9924780069,True,False
056144,HUNTINGTON PARK NURSING CENTER,CA,HUNTINGTON PARK,90255,3.63738,3.10104,3.63738,3.00353,4.21405,4.21405,7.51718,3.28174,46.62587,1.0000370158,False,True
056145,GARDEN GROVE POST ACUTE,CA,GARDEN GROVE,92841,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00000,3.55728,33.8932,0.9880109085,True,False
056148,CASITAS CARE CENTER,CA,GRANADA HILLS,91344,7.71338,7.61304,7.71338,0.62384,2.69302,2.69302,10.00000,2.20442,56.52703,1.0116415082,False,True
056149,CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,CA,VAN NUYS,91411,3.93946,0.00000,3.93946,0.00000,0.00000,0.00000,6.74500,0.00000,26.71115,0.9842706513,True,False
056150,CATERED MANOR NURSING CENTER,CA,LONG BEACH,90807,2.76780,0.61364,2.76780,0.00000,0.00000,0.00000,3.06881,2.80920,21.61451,0.9826596301,True,False
056151,"GREENFIELD CARE CENTER OF FULLERTON, LLC",CA,FULLERTON,92835,6.69923,6.60333,6.69923,1.81536,0.00000,1.81536,10.00000,3.88838,56.00743,1.0110740805,False,True
056153,NAPA POST ACUTE,CA,NAPA,94558,3.08283,0.04071,3.08283,0.00000,0.00000,0.00000,2.91760,1.26861,18.1726,0.9819159702,True,False
056155,OAKDALE NURSING AND REHABILITATION CENTER,CA,OAKDALE,95361,0.00000,0.00000,0.00000,2.32075,0.00000,2.32075,4.87595,4.67624,29.68237,0.9855769462,True,False
056157,ALVARADO CARE CENTER,CA,LOS ANGELES,90006,2.99221,0.00000,2.99221,5.86184,0.00000,5.86184,10.00000,0.00000,47.13513,1.000634899,False,True
056158,COLLEGE OAK NURSING & REHABILITATION CENTER,CA,SACRAMENTO,95841,0.70283,0.00000,0.70283,3.34827,0.00000,3.34827,0.74589,3.34995,20.36736,0.9823630991,True,False
056159,SHERMAN VILLAGE HCC,CA,NORTH HOLLYWOOD,91607,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.14017,0.00000,15.35042,0.9814591382,True,False
056162,EXTENDED CARE HOSPITAL OF RIVERSIDE,CA,RIVERSIDE,92504,3.97830,0.96431,3.97830,2.20026,0.00000,2.20026,4.19038,3.30999,34.19734,0.9882160525,True,False
056164,PACIFIC PALMS HEALTHCARE,CA,LONG BEACH,90804,3.20367,1.22199,3.20367,0.00000,0.00000,0.00000,8.24019,3.47498,37.29708,0.9905472122,True,False
056166,MEADOW CREEK POST-ACUTE,CA,PARAMOUNT,90723,3.25545,4.33307,4.33307,4.98494,7.58734,7.58734,3.81359,0.00000,39.33498,0.9923208128,True,False
056167,CENTINELA SKILLED NURSING & WELLNESS CENTRE WEST,CA,INGLEWOOD,90301,6.67766,0.00000,6.67766,2.08646,0.00000,2.08646,10.00000,1.65080,51.0373,1.00530425,False,True
056168,GRANADA HILLS CONVALESCENT,CA,GRANADA HILLS,91344,7.37029,5.32311,7.37029,5.73466,7.17946,7.17946,10.00000,4.86671,73.54115,1.0239417536,False,True
056169,ALAMITOS WEST HEALTH & REHABILITATION,CA,LOS ALAMITOS,90720,0.00000,0.00000,0.00000,3.29137,0.00000,3.29137,4.28776,3.38674,27.41468,0.9845524745,True,False
056170,EXCELL HEALTH CARE CENTER,CA,OAKLAND,94619,2.53261,0.00000,2.53261,2.85627,1.78227,2.85627,8.85186,2.30666,41.3685,0.9942749091,True,False
056174,MID-WILSHIRE HEALTH CARE CNTR,CA,LOS ANGELES,90057,5.67214,2.85829,5.67214,0.00000,0.00000,0.00000,6.40515,1.41841,33.73926,0.9879086474,True,False
