ccn,provider_name,provider_address,city,state,zip_code,in_vbp,vbp_rank,performance_score,incentive_multiplier,payment_direction,national_pct_rank,national_vbp_tier,state_pct_rank,state_vbp_tier,snfrm_base,snfrm_perf,snfrm_score,snfrm_delta,hai_base,hai_perf,hai_score,turnover_base,turnover_perf,turnover_score,turnover_delta,staffing_hprd_base,staffing_hprd_perf,staffing_score,staffing_hprd_delta,fn_snfrm_flag,fn_hai_flag,fn_turnover_flag,fn_staffing_flag
125067,ISLANDS SKILLED NURSING & REHABILITATION,1205 ALEXANDER STREET,HONOLULU,HI,96826,True,13340,6.3515,0.9806041775,PENALTY,0.04,BOTTOM_QUARTILE,0.026,BOTTOM_QUARTILE,,,,,0.07768,0.07624,0.70417,,,,,3.56696,3.23868,0.56614,-0.3283,VOL_SUPPRESSED,,VOL_SUPPRESSED,
125041,LILIHA HEALTHCARE CENTER,1814 LILIHA STREET,HONOLULU,HI,96817,True,13142,7.95072,0.9807074132,PENALTY,0.055,BOTTOM_QUARTILE,0.051,BOTTOM_QUARTILE,0.18044,0.22979,0.0,0.0494,0.05273,0.07773,0.0,,,,,4.13837,3.75633,2.38522,-0.382,,,VOL_SUPPRESSED,
125024,NUUANU HALE,2900 PALI HIGHWAY,HONOLULU,HI,96817,True,11632,15.97839,0.9815506576,PENALTY,0.163,BOTTOM_QUARTILE,0.077,BOTTOM_QUARTILE,,0.20036,3.01163,,,0.07302,1.78189,,,,,3.67636,3.16477,0.0,-0.5116,,,VOL_SUPPRESSED,
125065,LEGACY HILO REHABILITATION & NURSING CENTER,563 KAUMANA DRIVE,HILO,HI,96720,True,9450,23.61577,0.9832095812,PENALTY,0.32,BELOW_MEDIAN,0.103,BOTTOM_QUARTILE,0.17131,0.20505,1.99964,0.0337,0.05165,0.08031,0.0,0.30556,0.37975,6.28893,0.0742,4.29737,3.40703,1.15774,-0.8903,,,,
125062,"HALE KUPUNA HERITAGE HOME, LLC",4297A OMAO ROAD,KOLOA,HI,96756,True,8827,25.5522,0.98384061,PENALTY,0.365,BELOW_MEDIAN,0.128,BOTTOM_QUARTILE,,,,,,,,0.49206,0.54545,2.23472,0.0534,4.23781,3.89591,2.87572,-0.3419,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125019,THE CARE CENTER OF HONOLULU,1900 BACHELOT STREET,HONOLULU,HI,96817,True,5691,35.28425,0.9889832761,PENALTY,0.591,ABOVE_MEDIAN,0.154,BOTTOM_QUARTILE,0.20164,0.186,6.11017,-0.0156,0.06727,0.07331,1.68483,,0.42381,5.21091,,2.65178,3.15489,1.1078,0.5031,,,,
125057,KULANA MALAMA,91-1360 KARAYAN STREET,EWA BEACH,HI,96706,True,5346,36.5205,0.9899216388,PENALTY,0.615,ABOVE_MEDIAN,0.179,BOTTOM_QUARTILE,,,,,,,,0.84706,0.50467,5.22032,-0.3424,3.92461,3.67055,2.08378,-0.2541,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125007,HALE MAKUA - KAHULUI,472 KAULANA STREET,KAHULUI,HI,96732,True,5031,37.66172,0.9908505724,PENALTY,0.638,ABOVE_MEDIAN,0.205,BOTTOM_QUARTILE,0.15758,0.20546,1.91117,0.0479,0.05052,0.07137,2.33414,0.33971,0.36777,6.58205,0.0281,4.13012,4.28338,4.23733,0.1533,,,,
125050,HALE MALAMALAMA,6163 SUMMER STREET,HONOLULU,HI,96821,True,4100,41.26787,0.9941740781,PENALTY,0.705,ABOVE_MEDIAN,0.231,BOTTOM_QUARTILE,,,,,,,,0.4375,0.4,5.79347,-0.0375,3.79639,3.77764,2.4601,-0.0188,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125061,KAUAI CARE CENTER,9611 WAENA ROAD,WAIMEA,HI,96796,True,3880,42.28547,0.9952123444,PENALTY,0.721,ABOVE_MEDIAN,0.256,BOTTOM_QUARTILE,,,,,,,,0.37209,0.45833,4.3663,0.0862,4.55327,4.24168,4.09079,-0.3116,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125014,ARCADIA RETIREMENT RESIDENCE,1434 PUNAHOU STREET,HONOLULU,HI,96822,True,3503,44.04193,0.997095514,PENALTY,0.748,ABOVE_MEDIAN,0.282,BELOW_MEDIAN,0.18623,0.21636,0.0,0.0301,0.061,0.06399,4.8042,0.29897,0.44,4.81478,0.141,6.28485,5.35348,7.99779,-0.9314,,,,
125043,PEARL CITY POST ACUTE,919 LEHUA AVENUE,PEARL CITY,HI,96782,True,3119,45.91614,0.9992123695,PENALTY,0.776,TOP_QUARTILE,0.308,BELOW_MEDIAN,,0.1988,3.34824,,,0.06535,4.34901,0.88235,0.41026,6.94809,-0.4721,4.30517,4.13648,3.72111,-0.1687,,,,
125038,ALOHA NURSING & REHAB CENTRE,45-545 KAMEHAMEHA HIGHWAY,KANEOHE,HI,96744,True,3097,46.06212,0.9993810976,PENALTY,0.777,TOP_QUARTILE,0.333,BELOW_MEDIAN,0.16657,0.18978,5.29453,0.0232,0.06791,0.06378,4.87449,,0.51429,2.99712,,4.31025,4.57403,5.25871,0.2638,,,,
125051,KA PUNAWAI OLA,91-575 FARRINGTON HIGHWAY,KAPOLEI,HI,96707,True,2550,49.10453,1.0029811861,BONUS,0.817,TOP_QUARTILE,0.359,BELOW_MEDIAN,0.15764,0.21367,0.0,0.056,0.04519,0.05053,9.30922,0.33766,0.31373,7.90425,-0.0239,3.7858,3.7686,2.42834,-0.0172,,,,
125052,LIFE CARE CENTER OF KONA,78-6957 KAMEHAMEHA III ROAD,KAILUA KONA,HI,96740,True,2466,49.63272,1.0036158737,BONUS,0.823,TOP_QUARTILE,0.385,BELOW_MEDIAN,0.17397,0.18615,6.0778,0.0122,0.06004,0.06205,5.45351,0.40426,0.33962,7.2708,-0.0646,3.40071,3.37665,1.05098,-0.0241,,,,
125026,"KUAKINI GERIATRIC CARE, INC",347 NORTH KUAKINI STREET,HONOLULU,HI,96817,True,2427,49.83236,1.0038559664,BONUS,0.825,TOP_QUARTILE,0.41,BELOW_MEDIAN,0.16266,0.19695,3.74742,0.0343,0.05747,0.06075,5.88862,0.23077,0.27381,8.88098,0.043,3.704,3.4805,1.41592,-0.2235,,,,
125048,ANN PEARL NURSING FACILITY,45-181 WAIKALUA ROAD,KANEOHE,HI,96744,True,2314,50.26897,1.0043811393,BONUS,0.834,TOP_QUARTILE,0.436,BELOW_MEDIAN,,,,,,,,0.33803,0.32,7.75084,-0.018,4.0161,3.73292,2.30295,-0.2832,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125011,HALE NANI REHABILITATION AND NURSING CENTER,1677 PENSACOLA STREET,HONOLULU,HI,96822,True,2273,50.52781,1.0046923665,BONUS,0.837,TOP_QUARTILE,0.462,BELOW_MEDIAN,0.15374,0.20371,2.28878,0.05,0.05676,0.06249,5.30625,0.30104,0.27799,8.77871,-0.023,4.0638,4.16957,3.83739,0.1058,,,,
