ccn,provider_name,state,performance_score,national_vbp_tier,state_vbp_tier,snfrm_score,fn_snfrm_flag,hai_score,fn_hai_flag,turnover_score,fn_turnover_flag,staffing_score,fn_staffing_flag
125067,ISLANDS SKILLED NURSING & REHABILITATION,HI,6.3515,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,0.70417,,,VOL_SUPPRESSED,0.56614,
125041,LILIHA HEALTHCARE CENTER,HI,7.95072,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,2.38522,
125024,NUUANU HALE,HI,15.97839,BOTTOM_QUARTILE,BOTTOM_QUARTILE,3.01163,,1.78189,,,VOL_SUPPRESSED,0.0,
125065,LEGACY HILO REHABILITATION & NURSING CENTER,HI,23.61577,BELOW_MEDIAN,BOTTOM_QUARTILE,1.99964,,0.0,,6.28893,,1.15774,
125062,"HALE KUPUNA HERITAGE HOME, LLC",HI,25.5522,BELOW_MEDIAN,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,2.23472,,2.87572,
125019,THE CARE CENTER OF HONOLULU,HI,35.28425,ABOVE_MEDIAN,BOTTOM_QUARTILE,6.11017,,1.68483,,5.21091,,1.1078,
125057,KULANA MALAMA,HI,36.5205,ABOVE_MEDIAN,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,5.22032,,2.08378,
125007,HALE MAKUA - KAHULUI,HI,37.66172,ABOVE_MEDIAN,BOTTOM_QUARTILE,1.91117,,2.33414,,6.58205,,4.23733,
125050,HALE MALAMALAMA,HI,41.26787,ABOVE_MEDIAN,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,5.79347,,2.4601,
125061,KAUAI CARE CENTER,HI,42.28547,ABOVE_MEDIAN,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,4.3663,,4.09079,
