state,facility_count,avg_performance_score,min_performance_score,max_performance_score,bonus_count,penalty_count,nat_bottom_quartile_count,nat_top_quartile_count
AK,10,62.64,41.25,84.64,9,1,0,9
AL,225,35.97,1.87,90.0,52,173,39,63
AR,211,33.26,0.0,100.0,39,172,50,51
AZ,138,36.24,0.0,100.0,32,106,25,38
CA,1084,38.24,0.0,100.0,320,764,154,368
CO,191,35.07,0.0,100.0,52,139,52,62
CT,190,37.57,3.04,100.0,46,144,20,53
DC,15,44.09,7.62,68.5,8,7,3,9
DE,41,36.11,4.33,88.06,13,28,11,13
FL,682,32.76,0.0,100.0,113,569,154,135
GA,346,27.85,0.0,70.5,48,298,124,58
GU,1,30.84,30.84,30.84,0,1,0,0
HI,39,51.43,6.35,89.11,26,13,3,28
IA,348,38.74,0.0,91.37,121,227,61,135
ID,75,44.95,0.0,91.46,34,41,5,39
IL,635,27.29,0.0,96.72,76,559,241,92
IN,496,28.77,0.0,87.54,69,427,153,84
KS,249,37.95,0.0,100.0,79,170,38,88
KY,260,29.59,0.0,100.0,37,223,86,41
LA,250,30.04,0.0,86.54,33,217,78,46
MA,336,35.0,0.0,100.0,79,257,71,95
MD,212,37.22,0.0,93.4,55,157,39,66
ME,74,41.06,10.58,81.3,31,43,7,34
MI,403,36.09,0.0,100.0,97,306,73,109
MN,304,47.91,1.95,100.0,155,149,20,171
MO,450,24.73,0.0,78.97,43,407,186,53
MS,191,37.09,4.89,94.1,53,138,36,56
MT,49,37.46,4.48,82.03,11,38,6,13
NC,402,31.99,0.0,95.71,86,316,112,98
ND,61,47.05,5.19,80.97,34,27,4,35
NE,153,35.57,0.0,81.81,46,107,37,51
NH,68,34.83,7.31,63.08,17,51,12,20
NJ,341,34.11,0.0,96.54,70,271,71,80
NM,64,26.11,0.0,63.91,6,58,23,7
NV,56,32.7,8.34,71.63,12,44,16,15
NY,592,36.44,0.63,94.69,145,447,86,170
OH,890,26.75,0.0,90.12,85,805,326,112
OK,249,30.39,0.0,92.02,40,209,75,45
OR,111,48.3,2.74,95.81,63,48,2,69
PA,646,36.79,0.0,100.0,175,471,130,196
PR,3,48.88,34.31,67.89,1,2,0,2
RI,71,34.82,9.85,72.24,13,58,10,16
SC,182,29.11,0.0,80.11,26,156,59,31
SD,77,34.09,6.59,74.58,16,61,18,22
TN,294,30.14,0.0,80.32,47,247,82,58
TX,1104,24.88,0.0,89.05,95,1009,478,122
UT,89,33.84,0.0,79.11,21,68,27,24
VA,277,33.97,0.0,92.18,60,217,62,73
VT,32,36.69,13.2,77.59,5,27,4,6
WA,183,42.07,6.95,100.0,66,117,13,76
WI,310,36.73,0.0,100.0,96,214,62,110
WV,112,30.76,3.61,72.67,16,96,27,20
WY,28,38.48,14.28,100.0,8,20,4,8
