ccn,provider_name,state,performance_score,national_vbp_tier,state_vbp_tier,snfrm_score,fn_snfrm_flag,hai_score,fn_hai_flag,turnover_score,fn_turnover_flag,staffing_score,fn_staffing_flag
145012,ALLURE OF KNOX COUNTY,IL,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
676212,COLLEGE PARK REHABILITATION AND CARE CENTER,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
265326,REPUBLIC NURSING & REHAB,MO,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
525526,CHI FRANCISCAN VILLA,WI,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,0.0,
365658,CARDINAL WOODS SKILLED NURSING & REHAB CTR,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
365652,COTTINGHAM RETIREMENT COMMUNITY,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
365667,MEDINA CENTER FOR REHABILITATION AND NURSING,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
365520,PHOENIX OF MAPLE HEIGHTS,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
065306,"VALLEY REHABILITATION AND HEALTHCARE CENTER, THE",CO,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
215113,CREEKSIDE CENTER FOR REHABILITATION AND NURSING,MD,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
035086,"HAVEN OF SIERRA VISTA, LLC",AZ,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,0.0,
155245,CASTLETON HEALTH CARE CENTER,IN,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
375325,BURFORD MANOR,OK,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
155251,"WATERS OF HOBART SKILLED NURSING FACILITY, THE",IN,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
265430,ARBOR VIEW NURSING AND REHABILITATION,MO,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,0.0,
155726,RIVER TERRACE HEALTH CARE CENTER,IN,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
675367,GREENVILLE GARDENS,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,0.0,,0.0,,0.0,
495156,OLD SOUTHWEST HEALTH AND REHABILITATION,VA,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
455817,SAN ANTONIO NORTH NURSING AND REHABILITATION,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
105797,GUARDIAN CARE NURSING & REHABILITATION CENTER,FL,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,0.0,
265423,WESTVIEW NURSING HOME,MO,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
315064,ASHBROOK CARE & REHABILITATION CENTER,NJ,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,0.0,
445480,THE WATERS OF SPRINGFIELD LLC,TN,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
465111,SANDY HEALTH AND REHAB,UT,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
345172,MERIDIAN CENTER,NC,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
185244,STANFORD CROSSING,KY,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
676355,BRENHAM HEALTHCARE CENTER,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
676295,EPIC NURSING & REHABILITATION,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
345183,CABARRUS HEALTH AND REHABILITATION,NC,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
315136,COMPLETE CARE AT SHREWSBURY LLC,NJ,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
675906,BENBROOK NURSING & REHABILITATION CENTER,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
365202,CARECORE AT LIMA LLC,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
155459,HICKORY CREEK AT NEW CASTLE,IN,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
155474,SIGNATURE HEALTHCARE OF BREMEN,IN,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
366229,PARKSIDE VILLA,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,0.0,
375341,COUNTRYSIDE ESTATES,OK,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
675231,CASCADES AT JACINTO REHAB LP,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
425303,LAKE EMORY POST ACUTE CARE,SC,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,0.0,,0.0,,0.0,
675364,HOMESTEAD NURSING AND REHABILITATION OF BAIRD,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
325214,LAGUNA RAINBOW NURSING CENTER,NM,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
135042,SILVER RIDGE CARE,ID,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
225549,BRIGHAM HEALTH AND REHABILITATION CENTER,MA,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
455824,WURZBACH NURSING AND REHABILITATION,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
185274,WEST LIBERTY NURSING AND REHABILITATION,KY,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
675522,MONAHANS MANAGED CARE CENTER,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
455576,RICHLAND HILLS REHABILITATION AND HEALTHCARE CENTE,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
366139,MAPLE HILLS SKILLED NURSING & REHABILITATION,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
455450,MERIDIAN CARE MONTE VISTA,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
235441,SKLD WYOMING,MI,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
185266,ELIZABETHTOWN NURSING AND REHABILITATION CENTER,KY,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
366220,HARMONY COURT REHAB AND NURSING,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
365737,HEATHERDOWNS REHAB & RESIDENTIAL CARE CENTER,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
155708,HILLSIDE MANOR NURSING HOME,IN,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
555867,FOREST HILL MANOR HEALTH CENTER,CA,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,,VOL_SUPPRESSED,,VOL_SUPPRESSED
265595,BLUE SPRINGS WELLNESS & REHABILITATION,MO,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
265589,ST PETERS REHAB AND HEALTHCARE CENTER,MO,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
265182,AURORA NURSING,MO,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
555905,"SERENETHOS CARE CENTER, LLC",CA,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
675002,RETAMA MANOR NURSING CENTER/SAN ANTONIO WEST,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
146119,MEADOWBROOK SKLD NSG & REHAB,IL,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
146113,CUMBERLAND REHAB & HEALTH CC,IL,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
145958,BETHANY REHAB & HCC,IL,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
425168,CARLYLE SENIOR CARE OF FOUNTAIN INN,SC,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
675502,PLEASANTON NORTH NURSING AND REHABILITATION,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
285147,THE OAKS AT CENTRAL CITY,NE,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
375520,NORTHWEST NURSING CENTER,OK,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
185133,TRADEWATER POINTE,KY,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,0.0,,0.0,,0.0,
455936,FOCUSED CARE AT LAMESA,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
455989,BORGER HEALTHCARE CENTER,TX,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
235444,WESTWOOD NURSING CENTER,MI,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,0.0,,0.0,,0.0,,0.0,
375243,JAN FRANCES CARE CENTER,OK,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
366288,SUNRISE NURSING HEALTHCARE LLC,OH,0.0,BOTTOM_QUARTILE,BOTTOM_QUARTILE,,VOL_SUPPRESSED,,VOL_SUPPRESSED,0.0,,0.0,
